e_E,p_RU,p_RD,p_SR,p_NR
3.5980356955209004e-08,0.0,0.0,0.0,0.0
0.0,3.196159315537721e-08,0.0,0.0,0.0
0.0,3.061088856404335e-08,0.0,0.0,0.0
3.563162585595778e-08,0.0,0.0,0.0,0.0
0.266198364279303,0.0,2.183817208458032e-09,0.0,0.0
0.1688131884579233,0.0,0.0,0.0,0.0
0.9645916425014828,0.0,0.0,0.0,0.0
0.03943723633508465,0.0,0.0,0.0,0.0
3.6107509186632686e-08,0.0,0.0,0.0,0.0
0.0,0.0,0.008296059081210274,0.0,0.0
3.3728433210232055e-09,0.0,2.4336751207434135e-08,0.0,0.0
3.491010032380204e-08,0.0,0.0,0.0,0.0
0.03943723694050952,0.0,0.0,0.0,0.0
0.039437237099712356,0.0,0.0,0.0,0.0
0.00829606603248694,0.0,0.0,0.0,0.0
3.8151127090197494e-08,0.0,0.0,0.0,0.0
0.09212839246241672,0.0,0.0,0.0,0.0
3.760943664727893e-08,0.0,0.0,0.0,0.0
3.75804249254322e-08,0.0,0.0,0.0,0.0
0.008296065291905517,0.0,0.0,0.0,0.0
3.6321201248356604e-08,0.0,0.0,0.0,0.0
3.663493805365654e-08,0.0,0.0,0.0,0.0
3.621115591428119e-08,0.0,0.0,0.0,0.0
3.615341292787948e-08,0.0,0.0,0.0,0.0
0.0,0.008296053077338545,0.0,0.0,0.0
0.0,3.415730372599708e-08,0.0,0.0,0.0
1.0963812588851554e-08,0.0,1.6521306377235438e-08,0.0,0.0
3.43249413828058e-08,0.0,0.0,0.0,0.0
0.0,0.0,3.614072589822389e-08,0.0,0.0
2.7038930151317968e-08,0.0,7.869285641365773e-10,0.0,0.0
0.0,0.0,3.373327386436054e-08,0.0,0.0
0.0,0.0,3.7121561284166175e-08,0.0,0.0
1.2393244680123603e-08,0.0,1.5455323665830735e-08,0.0,0.0
0.0,0.0,3.171005926920348e-08,0.0,0.0
0.0,3.604179971409129e-08,0.0,0.0,0.0
3.658620344972718e-08,0.0,0.0,0.0,0.0
